SchoolName,ClubName,ClubPopn,ClubGenPopn,ClubMission
Bridgewater State University,Queer Student Leaders,All LGBT and Allies,All LGBT and Allies,"The purposes of this organization are as follows: To increase visibility of queer-identifying individuals in leadership positions on campus. To validate the queer voice on campus through demonstrating cross-organizational support and presence of queer leadership. To oversee and implement queer student programming on campus, both independently and in collaboration with other student organizations and university institutions. To coordinate queer student and alumni outreach both independently and on behalf of members' respective organizations. To liaise with university faculty, staff, and administrative leadership on behalf of queer student leaders and the queer student body."
Bridgewater State University,Stonewall Alliance,All LGBT and Allies,All LGBT and Allies,"A student organization that is a welcome space for queer people, advocates for the community as a whole, and educates others on LGBTQIA+ issues."
Bridgewater State University,TIG (Transgender Identities Group),Trans/Gender Non-Conforming,Specific LGBT Identity,"The Transgender Identities Group (TIG) meets bi-weekly and offers transgender and non-binary students a safe space to affirm and support one another. TIG hosts multiple events every month and facilitates open conversations around gender and sexuality, and how this relates to their lives and the world around us."
Bristol Community College,Rainbow Connection,All LGBT and Allies,All LGBT and Allies,"The Rainbow Connection provides a safe, inclusive, and judgment free space for Bristol's LGBTQIA+ student community."
Bunker Hill Community College,LGBTQIA+ Student Union,All LGBT and Allies,All LGBT and Allies,"The purpose of this organization shall be to provide a safe, confidential, and open environment for all students regardless of race, gender, identity, etc with a focus on LGBTQIA+ community issues. The organization, through its officers and members, commits itself to creating an environment where everyone is treated with kindness and civility because it is only through our actions, behaviors and speech that we can fulfill our responsibilities and our mission as an organization."
Cape Cod Community College,Pride Alliance,All LGBT and Allies,All LGBT and Allies,"Pride Alliance is proud to continue its legacy of activism, social justice, breaking down barriers, and fostering strong, engaged communities along the way. We have continued to stand up, provide support, speak out, and organize for queer students and their allies by facilitating educational workshops, open forums, a speaker series, and social events. We recognize sexuality and gender identity aren't set in stone and people's identities can be fluid."
Clark University,Prism,All LGBT and Allies,All LGBT and Allies,"Prism aims to serve the lesbian, gay, transgender, intersex, and queer students of Clark University and their partners. Prism members are dedicated to improving support and awareness in both the Clark community and all over the globe. We firmly believe in the importance of all BIPOC lives, including queer and trans BIPOC lives on Clark campus and everywhere. Prism holds events throughout the school year such as Coming Out Stories, Pride Prom, and Transgender Day of Rememberance. We are furthermore a social outlet for LGBTQ+ Clark students and their allies. Community building and support is central to our group, and therefore Prism serves as a resource center providing information, a queer library, a clothing swap, and a binder exchange."
Clark University,Transfemme Empowerment Alliance (CUTEA),Trans/Gender Non-Conforming,Specific LGBT Identity,"A place for trans women to meet each other, find allies on campus, and overall make friendships, as well as get advice and resources!"
Clark University,QTSOC (Queer & Trans Students of Color),BIPOC LGBT,LGBT Students of Color,"This group provides an affinity space centering BIPOC students who are LGBTQIA+ or are questioning their gender and sexuality. We will engage in conversations around intersections of identity, support one another, and build community; each session is co-facilitated by students and staff."
Clark University,Trans and Gender Diverse Support and Discussion Group,Trans/Gender Non-Conforming,Specific LGBT Identity,"The Trans and Gender Diverse Support and Discussion Group provides an affinity space for those who are trans (binary or non-binary), gender diverse, and/or navigating or questioning aspects of their gender. Each session is co-facilitated by students and staff in seeking to provide access to a trans-inclusive community at Clark."
College of Our Lady of the Elms,True Colors,All LGBT and Allies,All LGBT and Allies,"The purpose of True Colors relies on comfortability and safe spaces. This is to say that every member here should not have to explain who they are or why they are that way. The club is not centered around education of those ignorant to LGBTQIA+ matters, rather it is centered around the act of just being."
College of the Holy Cross,Pride,All LGBT and Allies,All LGBT and Allies,"Our organization seeks to promote and facilitate education, discussion, and dialogue about Queer culture and the issues faced by Lesbian, Gay, Bisexual, Transgender, and Queer/Questioning, Intersex, Asexual/Aromantic (LGBTQIA+) people in today's world. To promote our mission, we aim to: Provide a necessary voice on campus with the goal of furthering awareness and acceptance of genders and sexualities, beyond straight and cisgender identities, Sustain an active and supportive community for LGBTQIA+ students at Holy Cross, and Counter anti-LGBTQIA+ sentiments, words, and actions, creating a safer and more positive environment on our campus."
Curry College,QSA (Queer Straight Alliance),All LGBT and Allies,All LGBT and Allies,"We are starting up the Queer Straight Alliance for students who may be member of the LGBTQIA+ Community or may not. We want to provide a safe place for students so they know they have people who are here for them and will support them if they need it. It'll provide sort of an escape for students to get involved and get excited. We will talk about LGBTQIA+ issues in the broad frame, hold programs, and hold support meetings for."
Dean College,Queer Pride Alliance (LGBTQ Alliance),All LGBT and Allies,All LGBT and Allies,NA
Emerson College,EAGLE (Emerson's Advancement Group for Love and Expression),All LGBT and Allies,All LGBT and Allies,"Emerson's Advancement Group for Love and Expression (EAGLE) is a space for queer students and their allies to find community. We provide support, connection, resources, and a platform to discover yourself and other identities. We aim to be a reflection of what queer Emerson students need as an entirely LGBTQIA+ friendly space: kindness, validation, liberation, and community care."
Emerson College,Theyta,Trans/Gender Non-Conforming,Specific LGBT Identity,"Theyta is a genderqueer volunteer, social, and professional organization, dedicated to providing a safe space for non-binary and gender non-conforming students on campus. We engage in discussion on identity and expression, partner with other organizations to further the conversation on what it means to be genderqueer, and how to maneuver the binary world both inside and outside of Emerson College. Theyta aims to help the local LGBT community in Boston and work with other non-binary professionals across the workforce to encourage and support the future for genderqueer youth."
Emmanuel College,OUTspoken,All LGBT and Allies,All LGBT and Allies,"OUTspoken is a student organization based at Emmanuel College committed to creating a fun, welcoming, and safe space for LGBTQ+ identifying and supporting students. We hold general meetings every other week in the Wilkens Science Center, as well as LGBTQ+ centered events throughout the year. Membership and attendance will not be openly publicized for the safety and comfort of all members."
Endicott College,Alliance,All LGBT and Allies,All LGBT and Allies,"An organization dedicated to generating a safe space for LGBTQ+ community members, including its supporters, through educating Endicott students and hosting events."
Fisher College,Pride+ Club,All LGBT and Allies,All LGBT and Allies,NA
Fitchburg State University,GSA (Gay Straight Alliance),All LGBT and Allies,All LGBT and Allies,"Gay Straight Alliance is for people of any and all sexual orientations and genders who are searching for a fully inclusive and supportive environment. It is a place where people can feel safe, welcomed, and be themselves."
Franklin W Olin College of Engineering,OPEN,All LGBT and Allies,All LGBT and Allies,"To foster community, support a safe and supportive environment for LGBTQ+ students and allies, and to raise awareness of LGBTQ+ related issues in the larger Olin culture."
Greenfield Community College,Queer-Straight Alliance/Pride Club,All LGBT and Allies,All LGBT and Allies,NA
Hampshire College,Drag Collective,All LGBT and Allies,All LGBT and Allies,"Drag Collective is a place for students to come together to talk, learn about, and explore drag, queerness, and self-expression. In this club, students will be able to enjoy drag race watch parties, space to do their own drag, and other opportunities to connect with queer culture."
Hampshire College,QIPOC (Queer Identifying People of Color),BIPOC LGBT,LGBT Students of Color,"QIPOC is an identity-based group affiliated with the S.O.U.R.C.E (Students of under-represented cultures and ethnicity) community. We are a space for Queer BIPOC students to revel or just be themselves in a safe and engaging community. We come together to create art, events, or archives of ourselves while giving room for our expressions or beings to grow. We'll advocate for resources, change, and other challenges you may come across while spending your time here at Hampshire College."
Harvard University,Athlete Ally,LGBT in Sports,Specific Non-LGBT Identity,"Our vision is to create visibility and liberation for every sex, sexual orientation, gender identity, and gender expression in sports. Activate athletic communities to exercise their leadership to eliminate homophobia and transphobia in sports."
Harvard University,BAGELS,LGBT Jews,Religious Association,"BAGELS is Harvard's group for bisexual, gay, lesbian, trans, and queer Jews, their friends, and supporters. We sponsor events that foster a BGTLQ Jewish community on campus, and increase awareness about both religion and sexuality."
Harvard University,SHADES,BIPOC LGBT,LGBT Students of Color,"Harvard College SHADE is a BGLTQ+ Organization that aims to create a safe space for students of color. This group intends to foster intersectional conversations regarding race, ethnicity, gender identity and sexual orientation through community dinners, socials and general meetings."
Harvard University,HUBBS (Harvard Undergrad BLGTQ Business Society),LGBT in Business,Specific Academic Discipline,"HUBBS is dedicated to preparing BGLTQ+ students for a plethora of fields, from consulting to marketing to non-profits, as well as building a strong BGLTQ+ community through free socials, meals, and more!"
Harvard University,Harvard Undergrad Queer Advocates,All LGBT and Allies,All LGBT and Allies,NA
Harvard University,QSA (Queer Students and Allies),All LGBT and Allies,All LGBT and Allies,The largest BGLTQ student organization for the undergraduate community at Harvard.
Holyoke Community College,Rainbow Forward Club,All LGBT and Allies,All LGBT and Allies,"Our purpose is to support all gay, lesbian, bisexual, transgender, and straight ally persons, and to help in the elimination, through education, of homophobia and heterosexism on the HCC campus by bringing together the LGBTQ+ and straight communities."
Lasell University,LU Pride,All LGBT and Allies,All LGBT and Allies,"LU Pride is a club dedicated to supporting & providing information on the queer community and it's intersectionality with other social identities on campus. We are a safe space for all students, regardless of gender or sexual identity, to connect & learn about current and past topics in relation to the queer community. We strive to not only support and connect students but to also actively educate and change our campus for the better in order to create a more welcoming and accepting environment for all students."
Longy School of Music of Bard College,QSU (Queer Student Union),All LGBT and Allies,All LGBT and Allies,Queer Student Union (QSU) promotes and celebrates LGBTQIA+ culture. It is a safe space for queer folks on campus.
Massachusetts Bay Community College,Pride Alliance,All LGBT and Allies,All LGBT and Allies,The mission of the Pride Alliance is to provide LGBTQ+ members of the MassBay community a safe space to be themselves and provide awareness and education about the issues facing the LGBTQ+ community in the local area and in the world. Allies welcome too!
Massachusetts College of Art and Design,Queer Artist Collective,LGBT in Art,Specific Academic Discipline,NA
Massachusetts College of Liberal Arts,QSU (Queer Student Union),All LGBT and Allies,All LGBT and Allies,"QSU reaches out to unite the MCLA community as a whole by providing support and resources for gay, lesbian, bisexual, asexual, pansexual, transgender, intersex, gender non-conforming and/or questioning (hereafter referred to as queer as an umbrella term) which addresses the needs and concerns of the queer student community on campus."
Massachusetts Institute of Technology,LGBT Grad @ MIT,LGBT Grad Students,Specific Non-LGBT Identity,"LGBT Grad is student group run by and for LGBT grad students and friends of the MIT community. Our mission is build and maintain a graduate student LGBT community across the Institute, and to connect MIT grad students to the LGBT community in the greater Boston area."
Massachusetts Institute of Technology,Sloan Pride,LGBT in Business,Specific Academic Discipline,"Sloan Pride is a student organization established to foster and promote an open and honest environment for lesbian, gay, bisexual, transgender, and queer students, partners, faculty and staff in the Sloan community. We seek to promote positive images of the LGBT community and to foster opportunities for personal and professional growth regardless of sexual or gender identity."
Massachusetts Institute of Technology,TransMIT,Trans/Gender Non-Conforming,Specific LGBT Identity,"A vibrant community dedicated to supporting and uplifting the trans and gender expansive individuals within the MIT family! Our mission is to foster a space that celebrates and supports the diverse identities within the trans and gender expansive spectrum. We're here for you, whether you identify as transgender, transsexual, gender non-conforming, genderqueer, agender, non-binary, or are questioning your gender identity."
Massachusetts School of Law,Diversity Alliance,All LGBT and Allies,All LGBT and Allies,"The Diversity Alliance's mission is to promote a positive, safe, and welcoming environment for members of the LGBTQ+ community through outreach and education. The Alliance seeks to instill tolerance, to value diversity and to demonstrate the inherent worth of all people. Additionally, the Alliance seeks to expand our understanding of the unique contributions each individual makes regarding the issues faced by the LGBTQ+ community within the MSLAW community and beyond."
Massasoit Community College,GSA (Gender Sexuality Alliance),All LGBT and Allies,All LGBT and Allies,"An organization dedicated to spreading awareness, information, and positive self-image across the campus. Our focus is the pursuit of equality for all people who do not identify with heteronormative sexualities and gender presentations. Open dialog within the group about issues affecting our lives is welcomed and encouraged. All students, including but not limited to lesbian, gay, bisexual, transgender, queer, intersex, asexual, gender-fluid, pansexual, questioning, undefined, and heterosexual, are welcome to meetings and official positions. Meetings provide a safe place for people of all sexual orientations and gender identities to express themselves openly, without fear of judgment or harassment."
MCPHS University,GASA (Gender and Sexuality Alliance),All LGBT and Allies,All LGBT and Allies,NA
Merrimack College,GSA (Gender Sexuality Alliance),All LGBT and Allies,All LGBT and Allies,GSA is an organization focused on spreading awareness and engaging the community on topics relating to gender identity and sexual orientation. This is an open and safe space for all LGBTQ+ folks and allies!
MGH Institute of Health Professions,KinsIHP (LGBTQ Club),All LGBT and Allies,All LGBT and Allies,"Formed in 2005, this club provides a forum for lesbian, gay, bisexual, transgender, intersex, and queer-identified students and allies. The club is open to any student who has an interest in LGBTQ-related health. Each academic year, the club invites speakers to address LGBTQ health-related issues. The club also gives presentations on LGBTQ issues for the IHP community. The club is active and has regular meetings and social events. The club also networks with MGH LGBT's Employee Resource Group and has participated in volunteer events at Fenway Community Health in Boston."
Montserrat College of Art,SAGA (Sexuality and Gender Alliance),All LGBT and Allies,All LGBT and Allies,"A safe space for the LGBTQIA+ and their allies to meet up and spend time together, whether it's having a discussion, planning an event, or just relaxing."
Mount Holyoke College,Coalition for Asexual/Aromantic Awareness,Asexual/Aromantic,Specific LGBT Identity,Our mission is to create and space for a-spec people and allies to come together and discuss a-spec relevant things as well as spreading awareness about the asexual and aromantic spectrums on campus.
Mount Holyoke College,Gender+,Trans/Gender Non-Conforming,Specific LGBT Identity,"The mission of the organization Gender+ shall be: fostering positive and purposefully intersectional community for transgender, non-binary, gender non-conforming, questioning individuals, and allies."
Mount Holyoke College,Queer Action Collective,All LGBT and Allies,All LGBT and Allies,"Our mission is to advocate for queer liberation on campus, statewide, and nationally."
Mount Wachusett Community College,Sexuality & Gender Alliance,All LGBT and Allies,All LGBT and Allies,"The purpose of this group shall be to act as a social and support network for Mount Wachusett Community College students, as well as to promote awareness and acceptance of varied sexual orientation prevalent in today's society, through interaction and education."
New England College of Optometry,Prism,All LGBT and Allies,All LGBT and Allies,"Join NECO's LGBTQIA+ and ally organization to create inclusivity and diversity within NECO and the greater optometric community through educational, social, and advocacy events."
New England Law-Boston,OUTLaws,All LGBT and Allies,All LGBT and Allies,"OUTLaws works to educate, unite, and offer opportunities for the LGBTQ community and its allies. It sponsors programs relating to transgender identity awareness; seminars with legal professionals; panel discussions on family law, probate law, and tax and financial services; and events with other student organizations. It also collaborates with the Massachusetts LGBTQ Bar Association for monthly social mixers, a legal professional mentoring program, and volunteer public service opportunities."
Nichols College,PRISM,All LGBT and Allies,All LGBT and Allies,NA
North Shore Community College,QSA (Queer Student Alliance),All LGBT and Allies,All LGBT and Allies,"The Queer Student Alliance's club membership is composed of gay, lesbian, bisexual, transgender, queer, questioning, and straight allied North Shore Community College students. The QSA is designed for members interested in social change through LGBTQ education and resources at North Shore Community College."
Northeastern University,NU Pride,All LGBT and Allies,All LGBT and Allies,"NU Pride is a community and safe space for Lesbians, Gays, Bisexuals, Transgenders, Queers, Asexuals, and others (LGBTQ+) on and off the Northeastern Campus. Events are geared towards education and connection between members of the dual spectrums of sexuality and gender orientation. This alliance empowers all members of the LGBTQ+ community and their allies to thrive as individuals and to meet other students within the community."
Northeastern University,Out in Business,LGBT in Business,Specific Academic Discipline,"Out in Business is a organization whose purpose is to create and maintain an inviting space for LGBTQ+ students of Northeastern University interested in the business field to organize, socialize, and form connections with one another, all the while cultivating and promoting the personal and professional growth of its members through the study of business and its applications in the world."
Northeastern University,"oSTEM (Out in Science, Technology, Engineering, and Mathematics)",LGBT in STEM,Specific Academic Discipline,"Out in Science, Technology, Engineering, and Mathematics (oSTEM) is a national society dedicated to LGBTQIA education, advancement, and leadership in the STEM fields."
Northeastern University,Queer Caucus,LGBT in Law,Specific Academic Discipline,"Queer Caucus is a student-run organization dedicated to supporting lesbian, gay, bisexual, transgender, queer, gender non-conforming, non-binary, asexual, genderqueer, Two-Spirit, intersex, pansexual, and questioning students, staff, and faculty at NUSL. QC seeks to offer a welcoming space for all queer individuals to connect with other queer students while mobilizing around issues of injustice and oppression. We seek to affirm and support our members who are Black, Indigenous, and people of color, as well as our members with disabilities. Through educational programming, campus visibility, and professional development, Queer Caucus seeks to maintain Northeastern University School of Law's position as the “queerest law school in the nation.”"
Northern Essex Community College,GSA (Gender and Sexuality Alliance),All LGBT and Allies,All LGBT and Allies,"Each student at NECC deserves a place where they feel safe, seen, and supported. Northern Essex's Gender and Sexuality Alliance provides an environment for students inside and outside of the LGBTAI+ community to be comfortable in their identity, have insightful conversations, and find peace in a truly accepting community."
Quincy College,GSA (Gay Straight Alliance),All LGBT and Allies,All LGBT and Allies,Acceptance. Educate. Support. Volunteer.
Quinsigamond Community College,Pride Alliance,All LGBT and Allies,All LGBT and Allies,NA
Regis College,GSA (Gender Sexuality Alliance),All LGBT and Allies,All LGBT and Allies,"Regis GSA is an accepting place for all people regardless of sex, gender, and sexual orientation. Whether you are passionate about advocacy, or just need an inclusive space to be yourself without judgment GSA welcomes you! GSA brings together gay, lesbian, bisexual, transgender, and queer students and straight allies to fight homophobia on campus and in the community. By raising awareness of different sexual and gender identities, linking homophobia with other oppressions, and advocating for equal treatment for students of all sexual orientations, GSA works to create a school environment free of homophobic discrimination."
Salem State University,The Alliance,All LGBT and Allies,All LGBT and Allies,The Salem State University Alliance is dedicated to promoting acceptance and understanding of the LGBTQIA+ community here on campus and in the area. We focus our attention on the students of Salem State University but have never been limited to them. We have branched out from being a social collective to providing education and political activism in Massachusetts.
Simmons University,Alliance,All LGBT and Allies,All LGBT and Allies,"Simmons University Alliance is a social and political organization for members of the LGBTQIA+ community, allied students, individuals questioning their identity, and others who support their rights and diversity. Alliance strives to create an environment that is a safer space for the expression of human diversity and respects confidentiality amongst all of its members."
Simmons University,Trans and Non-binary Collective,Trans/Gender Non-Conforming,Specific LGBT Identity,"We provide a safe and inclusive space for all LGBTQ+ students, with an emphasis on transgender and non-binary students. However, students of all identities are welcome. Our meetings are an opportunity for members to share if they need to, relax, and make friends! We also can help provide gender-affirming resources."
Smith College,AACE (Asexual & Aromantic Community and Education Club),Asexual/Aromantic,Specific LGBT Identity,"The Asexual and Aromantic Community and Education club (AACE) is a club that provides education, resources, and community for folks who identify with the asexual and/or aromantic spectra, and those who want to learn more about these identities."
Smith College,Trans and Nonbinary Alliance,Trans/Gender Non-Conforming,Specific LGBT Identity,"The Trans and Non-Binary Alliance is an education and support organization aimed at trans and non-binary members of the student body, as well as anyone who is questioning or uncertain about their gender. We spend our meetings discussing current events that apply to trans and non-binary people and issues of transness at Smith. This organization strives to take an intersectional approach to all discussions. We welcome newcomers, and commit to making meetings as accessible as possible for everyone. We are committed for providing a space for POC trans students, trans-femmes, and neurodivergent trans students."
Springfield College,Gender & Sexuality Alliance,All LGBT and Allies,All LGBT and Allies,NA
Springfield Technical Community College,LGBTQ Pride Club,All LGBT and Allies,All LGBT and Allies,NA
Stonehill College,PRIDE,All LGBT and Allies,All LGBT and Allies,PRIDE's purpose is to create a welcoming and inclusive campus environment for everyone regardless of sexual orientation and/or gender identity. PRIDE meets monthly and we welcome anyone and everyone to stop by!
Suffolk University,SAGE (Straights and Gays for Equality),All LGBT and Allies,All LGBT and Allies,"An inclusive club that celebrates LGBTQA+ values and people. We provided a safe space for Allies, Queer, and anyone who is in need of a safe space."
The New England Conservatory of Music,Queer Student Union,All LGBT and Allies,All LGBT and Allies,"Queer Student Union is a group devoted to fostering an inclusive community that bolsters the visibility of LGBTQ+ individuals at NEC while providing resources to the community and their allies. Through this group, we hope to create a support network to share stories, experiences, and music that speak to the larger purview containing our own unique queer experiences."
